,user_name,text,lowercase,unwanted_spaces,urls,html_encodings,usernames,pne,three_characters,stopwords,tokenize,lemmatize,duplicate,clean_text
10,Elkhorn Inn - Elisse,"RT @SkyAndyHughes: Everyone should watch this. Sky News team comes under fire from Russian forces in Kyiv, despite making it clear they’re…","rt @skyandyhughes: everyone should watch this. sky news team comes under fire from russian forces in kyiv, despite making it clear they’re…","rt @skyandyhughes: everyone should watch this. sky news team comes under fire from russian forces in kyiv, despite making it clear they’re…","rt @skyandyhughes: everyone should watch this. sky news team comes under fire from russian forces in kyiv, despite making it clear they’re…","rt @skyandyhughes: everyone should watch this. sky news team comes under fire from russian forces in kyiv, despite making it clear they’re…","rt : everyone should watch this. sky news team comes under fire from russian forces in kyiv, despite making it clear they’re…",rt   everyone should watch this  sky news team comes under fire from russian forces in kyiv  despite making it clear they re ,everyone should watch this news team comes under fire from russian forces kyiv despite making clear they,everyone watch news team comes fire russian forces kyiv despite making clear,"['everyone', 'watch', 'news', 'team', 'comes', 'fire', 'russian', 'forces', 'kyiv', 'despite', 'making', 'clear']",everyone watch news team come fire russian force kyiv despite make clear,everyone watch news team come fire russian force kyiv despite make clear,everyone watch news team come fire russian force kyiv despite make clear
11,beli sadiku,RT @AVindman: The defeatism is astounding… and consistent. These same conclusions were forecasted 10 days ago. I judge Kyiv will stand. The…,rt @avindman: the defeatism is astounding… and consistent. these same conclusions were forecasted 10 days ago. i judge kyiv will stand. the…,rt @avindman: the defeatism is astounding… and consistent. these same conclusions were forecasted 10 days ago. i judge kyiv will stand. the…,rt @avindman: the defeatism is astounding… and consistent. these same conclusions were forecasted 10 days ago. i judge kyiv will stand. the…,rt @avindman: the defeatism is astounding… and consistent. these same conclusions were forecasted 10 days ago. i judge kyiv will stand. the…,rt : the defeatism is astounding… and consistent. these same conclusions were forecasted 10 days ago. i judge kyiv will stand. the…,rt   the defeatism is astounding  and consistent  these same conclusions were forecasted    days ago  i judge kyiv will stand  the ,defeatism astounding consistent these same conclusions were forecasted days judge kyiv will stand,defeatism astounding consistent conclusions forecasted days judge kyiv stand,"['defeatism', 'astounding', 'consistent', 'conclusions', 'forecasted', 'days', 'judge', 'kyiv', 'stand']",defeatism astound consistent conclusion forecast day judge kyiv stand,defeatism astound consistent conclusion forecast day judge kyiv stand,defeatism astound consistent conclusion forecast day judge kyiv stand
12,M E,RT @Reuters: The U.S. and its allies criticized Russia at the U.N. over its shelling and seizure in Ukraine of Europe's biggest nuclear pow…,rt @reuters: the u.s. and its allies criticized russia at the u.n. over its shelling and seizure in ukraine of europe's biggest nuclear pow…,rt @reuters: the u.s. and its allies criticized russia at the u.n. over its shelling and seizure in ukraine of europe's biggest nuclear pow…,rt @reuters: the u.s. and its allies criticized russia at the u.n. over its shelling and seizure in ukraine of europe's biggest nuclear pow…,rt @reuters: the u.s. and its allies criticized russia at the u.n. over its shelling and seizure in ukraine of europe's biggest nuclear pow…,rt : the u.s. and its allies criticized russia at the u.n. over its shelling and seizure in ukraine of europe's biggest nuclear pow…,rt   the u s  and its allies criticized russia at the u n  over its shelling and seizure in ukraine of europe s biggest nuclear pow ,allies criticized russia over shelling seizure ukraine europe biggest nuclear,allies criticized russia shelling seizure ukraine europe biggest nuclear,"['allies', 'criticized', 'russia', 'shelling', 'seizure', 'ukraine', 'europe', 'biggest', 'nuclear']",ally criticize russia shell seizure ukraine europe big nuclear,ally criticize russia shell seizure ukraine europe big nuclear,ally criticize russia shell seizure ukraine europe big nuclear
13,Jitterbugmom,RT @caslernoel: Instead of banning the non-existent teaching CRT in Kentucky schools they should have banned investing their teachers pensi…,rt @caslernoel: instead of banning the non-existent teaching crt in kentucky schools they should have banned investing their teachers pensi…,rt @caslernoel: instead of banning the non-existent teaching crt in kentucky schools they should have banned investing their teachers pensi…,rt @caslernoel: instead of banning the non-existent teaching crt in kentucky schools they should have banned investing their teachers pensi…,rt @caslernoel: instead of banning the non-existent teaching crt in kentucky schools they should have banned investing their teachers pensi…,rt : instead of banning the non-existent teaching crt in kentucky schools they should have banned investing their teachers pensi…,rt   instead of banning the non existent teaching crt in kentucky schools they should have banned investing their teachers pensi ,instead banning existent teaching kentucky schools they should have banned investing their teachers pensi,instead banning existent teaching kentucky schools banned investing teachers pensi,"['instead', 'banning', 'existent', 'teaching', 'kentucky', 'schools', 'banned', 'investing', 'teachers', 'pensi']",instead ban existent teach kentucky school ban invest teacher pensi,instead ban existent teach kentucky school invest teacher pensi,instead ban existent teach kentucky school invest teacher pensi
14,carol gumbo,RT @RandyRRQuaid: It’s unAmerican for an American president to make Americans sit by and watch genocide that America is funding because he…,rt @randyrrquaid: it’s unamerican for an american president to make americans sit by and watch genocide that america is funding because he…,rt @randyrrquaid: it’s unamerican for an american president to make americans sit by and watch genocide that america is funding because he…,rt @randyrrquaid: it’s unamerican for an american president to make americans sit by and watch genocide that america is funding because he…,rt @randyrrquaid: it’s unamerican for an american president to make americans sit by and watch genocide that america is funding because he…,rt : it’s unamerican for an american president to make americans sit by and watch genocide that america is funding because he…,rt   it s unamerican for an american president to make americans sit by and watch genocide that america is funding because he ,unamerican american president make americans watch genocide that america funding because,unamerican american president make americans watch genocide america funding,"['unamerican', 'american', 'president', 'make', 'americans', 'watch', 'genocide', 'america', 'funding']",unamerican american president make american watch genocide america fund,unamerican american president make watch genocide america fund,unamerican american president make watch genocide america fund
15,Hyhshs,"@Jon_Alper @oryxspioenkop most likely maybe 1-2. They lack time, space and knowledge to repair russian stuff.","@jon_alper @oryxspioenkop most likely maybe 1-2. they lack time, space and knowledge to repair russian stuff.","@jon_alper @oryxspioenkop most likely maybe 1-2. they lack time, space and knowledge to repair russian stuff.","@jon_alper @oryxspioenkop most likely maybe 1-2. they lack time, space and knowledge to repair russian stuff.","@jon_alper @oryxspioenkop most likely maybe 1-2. they lack time, space and knowledge to repair russian stuff.","_alper  most likely maybe 1-2. they lack time, space and knowledge to repair russian stuff.", alper  most likely maybe      they lack time  space and knowledge to repair russian stuff ,alper most likely maybe they lack time space knowledge repair russian stuff,alper likely maybe lack time space knowledge repair russian stuff,"['alper', 'likely', 'maybe', 'lack', 'time', 'space', 'knowledge', 'repair', 'russian', 'stuff']",alper likely maybe lack time space knowledge repair russian stuff,alper likely maybe lack time space knowledge repair russian stuff,alper likely maybe lack time space knowledge repair russian stuff
16,The Wall Street Bull v.2022,"RT @p0ppyfield: Disabled people in Russia are unable to get their normal life saving medications due to sanctions.
A Russian friend’s daugh…","rt @p0ppyfield: disabled people in russia are unable to get their normal life saving medications due to sanctions.
a russian friend’s daugh…",rt @p0ppyfield: disabled people in russia are unable to get their normal life saving medications due to sanctions. a russian friend’s daugh…,rt @p0ppyfield: disabled people in russia are unable to get their normal life saving medications due to sanctions. a russian friend’s daugh…,rt @p0ppyfield: disabled people in russia are unable to get their normal life saving medications due to sanctions. a russian friend’s daugh…,rt : disabled people in russia are unable to get their normal life saving medications due to sanctions. a russian friend’s daugh…,rt   disabled people in russia are unable to get their normal life saving medications due to sanctions  a russian friend s daugh ,disabled people russia unable their normal life saving medications sanctions russian friend daugh,disabled people russia unable normal life saving medications sanctions russian friend daugh,"['disabled', 'people', 'russia', 'unable', 'normal', 'life', 'saving', 'medications', 'sanctions', 'russian', 'friend', 'daugh']",disable people russia unable normal life save medication sanction russian friend daugh,disable people russia unable normal life save medication sanction russian friend daugh,disable people russia unable normal life save medication sanction russian friend daugh
17,Danielle Lamphier,"RT @catherine_lucey: People around the world have booked over 60,000 nights in Ukrainian Airbnbs as a way to get aid to residents during th…","rt @catherine_lucey: people around the world have booked over 60,000 nights in ukrainian airbnbs as a way to get aid to residents during th…","rt @catherine_lucey: people around the world have booked over 60,000 nights in ukrainian airbnbs as a way to get aid to residents during th…","rt @catherine_lucey: people around the world have booked over 60,000 nights in ukrainian airbnbs as a way to get aid to residents during th…","rt @catherine_lucey: people around the world have booked over 60,000 nights in ukrainian airbnbs as a way to get aid to residents during th…","rt _lucey: people around the world have booked over 60,000 nights in ukrainian airbnbs as a way to get aid to residents during th…",rt  lucey  people around the world have booked over        nights in ukrainian airbnbs as a way to get aid to residents during th ,lucey people around world have booked over nights ukrainian airbnbs residents during,lucey people around world booked nights ukrainian airbnbs residents,"['lucey', 'people', 'around', 'world', 'booked', 'nights', 'ukrainian', 'airbnbs', 'residents']",lucey people around world book night ukrainian airbnbs resident,lucey people around world book night ukrainian airbnbs resident,lucey people around world book night ukrainian airbnbs resident
18,Arielle,RT @privatefigure_: Russian soldier getting showed more love in Ukraine than innocent African students.,rt @privatefigure_: russian soldier getting showed more love in ukraine than innocent african students.,rt @privatefigure_: russian soldier getting showed more love in ukraine than innocent african students.,rt @privatefigure_: russian soldier getting showed more love in ukraine than innocent african students.,rt @privatefigure_: russian soldier getting showed more love in ukraine than innocent african students.,rt _: russian soldier getting showed more love in ukraine than innocent african students.,rt    russian soldier getting showed more love in ukraine than innocent african students ,russian soldier getting showed more love ukraine than innocent african students,russian soldier getting showed love ukraine innocent african students,"['russian', 'soldier', 'getting', 'showed', 'love', 'ukraine', 'innocent', 'african', 'students']",russian soldier get show love ukraine innocent african student,russian soldier get show love ukraine innocent african student,russian soldier get show love ukraine innocent african student
19,JessiBia,RT @ABC: Ukrainian Pres. Volodymyr Zelenskyy gave an urgent plea for intervention after officials said Russian troops shelled Ukraine's lar…,rt @abc: ukrainian pres. volodymyr zelenskyy gave an urgent plea for intervention after officials said russian troops shelled ukraine's lar…,rt @abc: ukrainian pres. volodymyr zelenskyy gave an urgent plea for intervention after officials said russian troops shelled ukraine's lar…,rt @abc: ukrainian pres. volodymyr zelenskyy gave an urgent plea for intervention after officials said russian troops shelled ukraine's lar…,rt @abc: ukrainian pres. volodymyr zelenskyy gave an urgent plea for intervention after officials said russian troops shelled ukraine's lar…,rt : ukrainian pres. volodymyr zelenskyy gave an urgent plea for intervention after officials said russian troops shelled ukraine's lar…,rt   ukrainian pres  volodymyr zelenskyy gave an urgent plea for intervention after officials said russian troops shelled ukraine s lar ,ukrainian pres volodymyr zelenskyy gave urgent plea intervention after officials said russian troops shelled ukraine,ukrainian pres volodymyr zelenskyy gave urgent plea intervention officials said russian troops shelled ukraine,"['ukrainian', 'pres', 'volodymyr', 'zelenskyy', 'gave', 'urgent', 'plea', 'intervention', 'officials', 'said', 'russian', 'troops', 'shelled', 'ukraine']",ukrainian pres volodymyr zelenskyy give urgent plea intervention official say russian troop shell ukraine,ukrainian pres volodymyr zelenskyy give urgent plea intervention official say russian troop shell ukraine,ukrainian pres volodymyr zelenskyy give urgent plea intervention official say russian troop shell ukraine
20,Kathleen Stratton,"RT @natemook: Today I met Natalia &amp; her daughter Miraslava at the train station in Lviv, Ukraine. They just arrived from Zaporizhzhia, wher…","rt @natemook: today i met natalia &amp; her daughter miraslava at the train station in lviv, ukraine. they just arrived from zaporizhzhia, wher…","rt @natemook: today i met natalia &amp; her daughter miraslava at the train station in lviv, ukraine. they just arrived from zaporizhzhia, wher…","rt @natemook: today i met natalia &amp; her daughter miraslava at the train station in lviv, ukraine. they just arrived from zaporizhzhia, wher…","rt @natemook: today i met natalia &amp; her daughter miraslava at the train station in lviv, ukraine. they just arrived from zaporizhzhia, wher…","rt : today i met natalia &amp; her daughter miraslava at the train station in lviv, ukraine. they just arrived from zaporizhzhia, wher…",rt   today i met natalia  amp  her daughter miraslava at the train station in lviv  ukraine  they just arrived from zaporizhzhia  wher ,today natalia daughter miraslava train station lviv ukraine they just arrived from zaporizhzhia wher,today natalia daughter miraslava train station lviv ukraine arrived zaporizhzhia wher,"['today', 'natalia', 'daughter', 'miraslava', 'train', 'station', 'lviv', 'ukraine', 'arrived', 'zaporizhzhia', 'wher']",today natalia daughter miraslava train station lviv ukraine arrive zaporizhzhia wher,today natalia daughter miraslava train station lviv ukraine arrive zaporizhzhia wher,today natalia daughter miraslava train station lviv ukraine arrive zaporizhzhia wher
21,Shawn Kerwin,"RT @AJEnglish: Russia-Ukraine war: 4 March updates ⤵️

Ukrainian president Zelenskyy urges Russian president Putin to sit down for talks, a…","rt @ajenglish: russia-ukraine war: 4 march updates ⤵️

ukrainian president zelenskyy urges russian president putin to sit down for talks, a…","rt @ajenglish: russia-ukraine war: 4 march updates ⤵️ ukrainian president zelenskyy urges russian president putin to sit down for talks, a…","rt @ajenglish: russia-ukraine war: 4 march updates ⤵️ ukrainian president zelenskyy urges russian president putin to sit down for talks, a…","rt @ajenglish: russia-ukraine war: 4 march updates ⤵️ ukrainian president zelenskyy urges russian president putin to sit down for talks, a…","rt : russia-ukraine war: 4 march updates ⤵️ ukrainian president zelenskyy urges russian president putin to sit down for talks, a…",rt   russia ukraine war    march updates    ukrainian president zelenskyy urges russian president putin to sit down for talks  a ,russia ukraine march updates ukrainian president zelenskyy urges russian president putin down talks,russia ukraine march updates ukrainian president zelenskyy urges russian president putin talks,"['russia', 'ukraine', 'march', 'updates', 'ukrainian', 'president', 'zelenskyy', 'urges', 'russian', 'president', 'putin', 'talks']",russia ukraine march update ukrainian president zelenskyy urge russian president putin talk,russia ukraine march update ukrainian president zelenskyy urge russian putin talk,russia ukraine march update ukrainian president zelenskyy urge russian putin talk
22,NAMASTE,"RT @mikegalsworthy: Putin is going to find it difficult to arrest all these people with his jails overflowing.

Well done, brave Russian pe…","rt @mikegalsworthy: putin is going to find it difficult to arrest all these people with his jails overflowing.

well done, brave russian pe…","rt @mikegalsworthy: putin is going to find it difficult to arrest all these people with his jails overflowing. well done, brave russian pe…","rt @mikegalsworthy: putin is going to find it difficult to arrest all these people with his jails overflowing. well done, brave russian pe…","rt @mikegalsworthy: putin is going to find it difficult to arrest all these people with his jails overflowing. well done, brave russian pe…","rt : putin is going to find it difficult to arrest all these people with his jails overflowing. well done, brave russian pe…",rt   putin is going to find it difficult to arrest all these people with his jails overflowing  well done  brave russian pe ,putin going find difficult arrest these people with jails overflowing well done brave russian,putin going find difficult arrest people jails overflowing well done brave russian,"['putin', 'going', 'find', 'difficult', 'arrest', 'people', 'jails', 'overflowing', 'well', 'done', 'brave', 'russian']",putin go find difficult arrest people jail overflow well do brave russian,putin go find difficult arrest people jail overflow well do brave russian,putin go find difficult arrest people jail overflow well do brave russian
23,Asterix de Gaulle,RT @Oneindia: Watch: Russian Defense Ministry releases video of 'Aidar' battalion post destruction by drone strike  https://t.co/UrKGlPO5sb…,rt @oneindia: watch: russian defense ministry releases video of 'aidar' battalion post destruction by drone strike  https://t.co/urkglpo5sb…,rt @oneindia: watch: russian defense ministry releases video of 'aidar' battalion post destruction by drone strike https://t.co/urkglpo5sb…,rt @oneindia: watch: russian defense ministry releases video of 'aidar' battalion post destruction by drone strike ,rt @oneindia: watch: russian defense ministry releases video of 'aidar' battalion post destruction by drone strike ,rt : watch: russian defense ministry releases video of 'aidar' battalion post destruction by drone strike ,rt   watch  russian defense ministry releases video of  aidar  battalion post destruction by drone strike ,watch russian defense ministry releases video aidar battalion post destruction drone strike,watch russian defense ministry releases video aidar battalion post destruction drone strike,"['watch', 'russian', 'defense', 'ministry', 'releases', 'video', 'aidar', 'battalion', 'post', 'destruction', 'drone', 'strike']",watch russian defense ministry release video aidar battalion post destruction drone strike,watch russian defense ministry release video aidar battalion post destruction drone strike,watch russian defense ministry release video aidar battalion post destruction drone strike
